,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,Easy Apply,min_salary,max_salary,avg_clean,company_txt,state,same_state,company_age,python,sql,r,aws,num_compitators
0,Data Analyst Junior,$42K-$76K (Glassdoor est.),"Job Description
Job description
Interpret data, analyze results using statistical techniques and provide ongoing reports
Develop and implement databases, data collection systems, data analytics and other strategies that optimize statistical efficiency and quality
Acquire data from primary or secondary data sources and maintain databases/data systems
Identify, analyze, and interpret trends or patterns in complex data sets
Filter and “clean” data by reviewing computer reports, printouts, and performance indicators to locate and correct code problems
Work with management to prioritize business and information needs
Locate and define new process improvement opportunities
Requirements
Proven work experience as a data analyst or business data analyst
Technical expertise regarding data models, database design development, data mining, and segmentation techniques
Strong knowledge of and experience with reporting packages (Business Objects etc), databases (SQL, etc), programming (XML, JavaScript, or ETL frameworks)
Knowledge of statistics and experience using statistical packages for analyzing datasets (Excel, SPSS, SAS, etc)
Strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy
Adept at queries, report writing and presenting findings
Master's in Computer Science or Engineering Management or Project Management or Information Systems/Technology (Preferred)
Powered by JazzHR

3DASEIMILJ",5.0,"Staffigo Technical Services, LLC
5.0","Chicago, IL","Woodridge, IL",51 to 200 employees,2008,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),-1,-1,42,76,59.0,"Staffigo Technical Services, LLC", IL,0,13,0,1,1,1,0
1,Junior Data Analyst,$30K-$54K (Glassdoor est.),"Job Description
Job description
Interpret data, analyze results using statistical techniques and provide ongoing reports
Develop and implement databases, data collection systems, data analytics and other strategies that optimize statistical efficiency and quality
Acquire data from primary or secondary data sources and maintain databases/data systems
Identify, analyze, and interpret trends or patterns in complex data sets
Filter and “clean” data by reviewing computer reports, printouts, and performance indicators to locate and correct code problems
Work with management to prioritize business and information needs
Requirements
Proven work experience as a data analyst or business data analyst
Technical expertise regarding data models, database design development, data mining, and segmentation techniques
Strong knowledge of and experience with reporting packages (Business Objects etc), databases (SQL, etc), programming (XML, Javascript, or ETL frameworks)
Knowledge of statistics and experience using statistical packages for analyzing datasets (Excel, SPSS, SAS, etc)
Strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy
Adept at queries, report writing and presenting findings
Master's in Computer Science or Engineering Management or Project Management or Information Systems/Technology (Preferred)
Powered by JazzHR

Mm1torioJ6",5.0,"Staffigo Technical Services, LLC
5.0","Gainesville, FL","Woodridge, IL",51 to 200 employees,2008,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),-1,-1,30,54,42.0,"Staffigo Technical Services, LLC", FL,0,13,0,1,1,1,0
2,Data Warehouse Analyst,$47K-$76K (Glassdoor est.),"Job description:
Working within IT to translate business requirements, going through a strategizing and ideation stage with the team before beginning on creating the application or solution.
Creating Tableau dashboard reports, working with data backend developers, creating business intelligence reports and visualizations.
Preforming system administration works on Tableau system.
Conduct training sessions to improve team members Tableau development skills, develop and update technical documentation.

Requirements:
7 + years of experiences in BI dashboard development in which at least 3+ years are Tableau related
Strong problem-solving skills with detail oriented mind set
Expert in dashboard build, report design and development using Tableau
Strong admin experience with Tableau including user management, reports/dashboard automation
Strong skills in using PL/SQL to build data pipelines to feed reports
Great document and communication skills to host training

Education:
Bachelor degree in computer science, information technology or similar subject
Certified Tableau developer/admin is a plus",5.0,"Purity Technology LLC
5.0","Houston, TX","Cypress, TX",1 to 50 employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,-1,-1,47,76,61.5,Purity Technology LLC, TX,0,-1,0,1,1,1,0
3,Quantitative Data Analyst/Developer,$77K-$132K (Glassdoor est.),"Job Description Quantitative Data Analyst/Developer - Delta One eTT
Who we are:
We are a fast-paced high-energy small global team that continually leverages a unique mix of quantitative and technology skills to create disruptive electronic trading products to drive business revenues, while efficiently managing operational risk, and ensuring high control standards. Our three core areas are (1) Electronic & Systematic Risk Trading (2) Quantitative Pricing (3) Data.

Electronic & Systematic Risk Trading:
We built the ETF Nitro platform, one of the largest off-exchange cross -product, dynamic auto-hedging and automated risk-trading platforms for ETFs on the street. The platform prices block liquidity, and hedges orders in fractions of a second by tapping into various sources of liquidity. We aim to build, fine-tune, and improve technologies and quantitative strategies to effectively systematically trade risk across different product types.

Quantitative Pricing:
We developed a quantitative pricing platform which systematically prices hundreds of ETFs covering over 20K stocks, 80 currencies and across over 100 exchanges.

Data:
Data sourcing, managing, and analytics are a huge part of what we do. We use different sources of data, in addition to our synthetically derived prices, in doing quantitative analytics with the aim of improving our trading and pricing platform. Data ware-housing, enrichment, consolidation, structuring, and normalization for millions of data points across thousands of ETFs and Indexes are part of our day-to-day function.

Job Details:
You will contribute to developing innovative electronic trading quantitative analytics, technologies and products. As our team is small and very entrepreneurial, we are very results driven and believe every member from the most junior to the most senior brings a unique value and is pivotal to the team's success.

We are looking for someone who is not afraid to challenge the status quo and is open to being challenged with thinking creatively and finding solutions to questions that sometimes have never been asked.

We are looking for someone having the following skills.

"" Strong C# .NET Skills
"" Good knowledge of Unix, Linux
"" Strong programming skills in C# with experience developing highly performant multithreaded applications.
"" Good Database skills
"" Comfort with basic Math and Statistics
"" Experience with Equity and Futures execution venue and some exposure to Market Microstructure
"" Some knowledge of Low latency Market Data
"" Knowledge of Index & ETF composition data
"" Some understanding of Futures, ETFs, Swaps
"" Some understanding of Liquidity Transformation
"" Theoretical Pricing
"" Algorithmic Trading and Hedging Strategies
"" Basic knowledge of Financial Modeling and Forecasting
"" Working knowledge of Machine Learning algorithms is a nice-to-have
"" Working knowledge of Quantitative Back-testing with Matlab, R, or python is useful",5.0,"Creative Data Resources
5.0","New York, NY","New York, NY",1 to 50 employees,1992,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,-1,-1,77,132,104.5,Creative Data Resources, NY,1,29,1,0,1,0,0
4,Data Analyst Junior,$30K-$54K (Glassdoor est.),"Job Description
Job description
Interpret data, analyze results using statistical techniques and provide ongoing reports
Develop and implement databases, data collection systems, data analytics and other strategies that optimize statistical efficiency and quality
Acquire data from primary or secondary data sources and maintain databases/data systems
Identify, analyze, and interpret trends or patterns in complex data sets
Filter and “clean” data by reviewing computer reports, printouts, and performance indicators to locate and correct code problems
Work with management to prioritize business and information needs
Locate and define new process improvement opportunities
Requirements
Proven work experience as a data analyst or business data analyst
Technical expertise regarding data models, database design development, data mining, and segmentation techniques
Strong knowledge of and experience with reporting packages (Business Objects etc), databases (SQL, etc), programming (XML, Javascript, or ETL frameworks)
Knowledge of statistics and experience using statistical packages for analyzing datasets (Excel, SPSS, SAS, etc)
Strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy
Adept at queries, report writing and presenting findings
Master's in Computer Science or Engineering Management or Project Management or Information Systems/Technology (Preferred)
Powered by JazzHR

Rh9jJaEnLX",5.0,"Staffigo Technical Services, LLC
5.0","Gainesville, FL","Woodridge, IL",51 to 200 employees,2008,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),-1,-1,30,54,42.0,"Staffigo Technical Services, LLC", FL,0,13,0,1,1,1,0
5,Senior Data Engineer & Analyst,$42K-$66K (Glassdoor est.),"Job Title: Senior Data Engineer & Analyst

Location: Pasadena, CA (Preferably West Coast Cnsultant as customer is in California and resource will need to work in their office hours)

Duration: Long Term Contract

Â

Skills:
8+ years of overall IT experience
Experienced in SQL, SSRS and T-SQL
Have good experience on creating and maintaining a Data Warehouse
Good experience in ETL Design, monitoring and development
Good with PowerBI; demonstratable advance skills in creating Complex reports in PowerBI
Should be able to troubleshoot and fix issues with any report or ETL job in production environments",5.0,"Pddn
5.0","Pasadena, CA","Fremont, CA",51 to 200 employees,-1,Company - Private,"Health, Beauty, & Fitness",Consumer Services,Less than $1 million (USD),-1,-1,42,66,54.0,Pddn, CA,0,-1,0,1,1,1,0
6,Data Analyst,$51K-$87K (Glassdoor est.),"We are looking for a contract Data Analyst to join our team for a 6-month (or longer) engagement with the option to convert to a full-time role.

What’s The Job?

You will work directly with a team of 24 engineers and report directly to the VP of Data Analytics.

The role is broken down into 4 areas of work:
Working with new data sets from vendors
Ad-Hoc Analysis
Updating ETL Jobs
Performing data quality checks


Who We Are

At the head of the Media/ad-tech industry, we use the most cutting edge tools and technology to guarantee we are the best at what we do. We are in charge with overseeing advanced advertising sales across all properties, with access to unique data that sets us apart from all of our competitors.

What Skills Do You Need?

R (primary & most important)
SQL
AWS


Nice to haves:

Tableau
Understanding of Data Bricks
Compensation:

$40 - $65/hour

You will be paid bi-weekly

How to Apply

We are hiring very quickly for this role, and all resumes will be reviewed within 24 hours and initial interviews will be performed within 48-72 hours. The intent is to hire someone within the next 7-14 days.

If interested, please apply directly!",5.0,"Averity
5.0","New York, NY","New York, NY",1 to 50 employees,2014,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,-1,-1,51,87,69.0,Averity, NY,1,7,0,1,1,1,0
7,Data Analyst,$30K-$54K (Glassdoor est.),"Job Description
Job description

• Interpret data, analyze results using statistical techniques and provide ongoing reports

• Develop and implement databases, data collection systems, data analytics and other strategies that optimize statistical efficiency and quality

• Acquire data from primary or secondary data sources and maintain databases/data systems

• Identify, analyze, and interpret trends or patterns in complex data sets

• Filter and “clean” data by reviewing computer reports, printouts, and performance indicators to locate and correct code problems

• Work with management to prioritize business and information needs

• Locate and define new process improvement opportunities

Requirements

• Proven work experience as a data analyst or business data analyst

• Technical expertise regarding data models, database design development, data mining and segmentation techniques

• Strong knowledge of and experience with reporting packages (Business Objects etc), databases (SQL etc), programming (XML, Javascript, or ETL frameworks)

• Knowledge of statistics and experience using statistical packages for analyzing datasets (Excel, SPSS, SAS etc)

• Strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy

• Adept at queries, report writing and presenting findings

• Master's in Computer Science or Engineering Management or Project Management or Information Systems/Technology (Preferred)

Powered by JazzHR

HkIPrIJm69",5.0,"Staffigo Technical Services, LLC
5.0","Gainesville, FL","Woodridge, IL",51 to 200 employees,2008,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),-1,-1,30,54,42.0,"Staffigo Technical Services, LLC", FL,0,13,0,1,1,1,0
8,"Operations Analyst, Data Governance",$42K-$66K (Glassdoor est.),"The Job

Warner Bros. Content Technology and Operations seeks an Operations Analyst, Data Governance for our Data Governance team, The role will be responsible for metadata collation, localization, and delivery for Feature and Television titles for digital distribution to clients. The role will be responsible for performing complex business systems analysis for enterprise master data applications across Warner Bros., Warner Media, and external data sources. The Data Operations Analyst is expected to work in a fast-paced environment, multitask, and oversee operations and special projects. The candidate must be willing to adapt to a constantly changing environment and ensure guidelines and business processes are followed. Additional areas of responsibility include understanding, identifying and documenting business process and functional requirements. This role will work closely with the Intellectual Property Review (IPR) and Data Governance Operations teams on daily operations, troubleshooting, and special projects such as system enhancements.

The Daily
Manage and provide clear direction to outsourced team members, onsite and offshore, to ensure on time delivery and accuracy of metadata, as required by the business.
Coordinate and communicate effectively with clients and internal teams for troubleshooting and ad-hoc requests. Requires daily management of releases and coordinate with internal stakeholders from marketing, publicity to in-territory and local client requirements for metadata from broadcast to home entertainment windows.
Lead meetings, oversee and lead operations and spearhead special projects to support the digital supply chain.
Review, organize and analyze data sets across WB studio systems to provide actionable insights to improve system implementations, data flows and/or operational processes.
Propose improvements and efficiencies to workflows. Ability to analyze data, create reports, and document processes/workflow diagrams. Problem-solve and determine root causes in order to propose changes to existing process or procedures.
Develop business scenarios and use cases for UAT and QA/QC testing for integration and implementation in metadata management system.
The Essentials
Bachelor’s Degree required.
Experience in operations and project management.
Experience with master data management discipline preferred.
Knowledge of project management, team collaboration and documentation software, e.g. Atlassian Jira, Confluence, Trello, Slack, etc. a plus.
Proficient in MS Office Suite (Excel, PowerPoint, SharePoint, etc).
Deep analytical skills who can ask relevant questions at the right time and provide multiple solution approaches to problems and challenges related to architecture, technical and non-technical issues.
Demonstrate initiative to stay abreast of technology advancements.
Ability to apply technology in solving business technical problems.
Experience in leading process change and implementing best practices associated with system implementation, replacement, and major enhancement.
Strong written and verbal communication skills and the ability to multi-task many projects.
Strong ability to communicate with technical and non-technical audiences.
Strong organization skills, project management skills a plus.
Must be an advocate for quality.
Must be detail-oriented.
Must be comfortable working with a reasonable level of autonomy after instruction.
Must be able to communicate effectively and tactfully with all levels of personnel, both in person and on the telephone.
Must be able to facilitate business process discussions with groups of 5-10 people.
Must be able to organize and schedule work effectively.
Must be able to work well under time constraints.
Must be able to handle multiple tasks with changing priorities, communicating changes in scope and schedule to all parties concerned.
Must be service-oriented.
Must be able to maintain confidentiality.
Requisition #
177719BR

Area of Interest
Technology/Information Technology

Industry
Corporate Media

Location
United States - California - Burbank

Position Type
Full Time

Business Unit
WB Technology

Business Unit Overview
WB Technology combines Warner Bros.’ industry-leading technologists and disciplines to ensure global alignment with business strategy and accelerated delivery of innovative technology solutions studio- and industry-wide. From pre-production through archiving, the WBT organization will provide critical business and technology intelligence and services to all Studio business units. WBT manages the Studio’s enterprise systems and solutions, emerging platforms, information security, consumer intelligence, content mastering and delivery, and more.

Company Overview
WarnerMedia is a leading media and entertainment company that creates and distributes premium and popular content from a diverse array of talented storytellers and journalists to global audiences through its consumer brands including: HBO, HBO Now, HBO Max, Warner Bros., TNT, TBS, truTV, CNN, DC Entertainment, New Line, Cartoon Network, Adult Swim, Turner Classic Movies and others.

Warner Media, LLC and its subsidiaries are equal opportunity employers. Qualified candidates will receive consideration for employment without regard to race, color, religion, national origin, gender, sexual orientation, gender identity or expression, age, mental or physical disability, and genetic information, marital status, citizenship status, military status, protected veteran status or any other category protected by law.",5.0,"WB Technology
5.0","Burbank, CA","Bishnupur , India",Unknown,-1,Company - Private,-1,-1,Unknown / Non-Applicable,-1,-1,42,66,54.0,WB Technology, CA,0,-1,0,0,1,0,0
9,Data Analyst,$55K-$103K (Glassdoor est.),"Wellth is a fast-growing digital health startup with offices in Los Angeles and New York City. Our mission is to help people living with chronic conditions make healthier choices every day. Chronic disease is one of the largest challenges facing our nation. This challenge is largely created due to patient non-adherence to medications and care plans. Only about 50% of people with chronic conditions follow their care plan as prescribed. This creates enormous health and economic burdens on individuals, families, and communities that are largely preventable. Our platform deploys evidence-based interventions from behavioral economics through a mobile app to dramatically improve patient adherence, health outcomes, and costs of care. Wellth is at the forefront of designing powerful new tools rooted in behavioral science to deliver value to our customers: healthcare providers and insurers.

Behavioral Economics is at the heart of what we do. If you are a fan of books like Nudge, Freakonomics, and Predictably Irrational and were as excited as us that a Nobel Prize went to a professor of behavioral economics in 2017, then this is the place for you. Help us build and scale a platform that is helping hundreds of patients manage their care plan and improve their health. Visit us at www.wellthapp.com for more information.

We have created a smartphone app that uses the power of financial incentives to improve patient adherence. Our technology also provides valuable information to nurses and other healthcare professionals in the form of weekly adherence report cards and real-time alerts to help provide high-touch care to their patients. Patients check in every day by taking a photo of their medications in their hand.

Job Description

We are looking for a data geek that will turn our growing data into understandable information. This new role will provide data-driven insight across Wellth functions to help answer key questions, improving revenue, margins and users experiences and operational workflow. You will work with multiple systems and have exposure across the business. You speak SQL and love to go digging for answers and clues. Come help us grow Wellth leveraging the power of data!

Key Qualifications
2+ years using SQL and other data extraction methods to produce data that leads to answers, insight and supports decisions
A passion for providing data-driven insight that answers key questions, helping improve revenue, margins, users experiences and operational workflow
Extensive investigative skills - an ability to dive deep into the data and figure out whats really going on
Ability to walk someone through what data is being presented, where it comes from, and what it is telling us
Hands on experience creating polished, crisp reports or dashboards when appropriate for ongoing use
Get the right information to the right teams at the right time
Ability to work with multiple teams, set priorities, stay organized and work on multiple projects simultaneously
Regularly report key findings for strategic initiatives
Motivated by a fast-paced environment!
Key skills
Expert experience pulling large and complex data using SQL
Experience with different visualization approaches and when each are appropriate
Comfort with common statistical methods & analysis
Methodical, logical approach with excellent attention to detail
Experience with data visualization tools ( e.g. Periscope, Looker, Mode, Chartio, Tableau)
Strong proficiency in SQL (multiple years of experience)
Proficiency in statistical modeling working with Python/R
BONUS - Familiarity with AWS
BONUS - Familiarity with web analytics tools (e.g. Google Analytics) and/or product analytics (e.g. Mixpanel, Amplitude)
We are open to individuals interested in Part-time/Full Time opportunities",5.0,"Wellth Inc.
5.0","Los Angeles, CA","New York, NY",1 to 50 employees,2014,Company - Private,Enterprise Software & Network Solutions,Information Technology,$1 to $5 million (USD),-1,-1,55,103,79.0,Wellth Inc., CA,0,7,1,1,1,1,0
